_mm256_add_pd,VADDPD
_mm256_add_ps,VADDPS
_mm256_addsub_pd,VADDSUBPD
_mm256_addsub_ps,VADDSUBPS
_mm256_and_pd,VANDPD
_mm256_and_ps,VANDPS
_mm256_andnot_pd,VANDNPD
_mm256_andnot_ps,VANDNPS
_mm256_blend_pd,VBLENDPD
_mm256_blend_ps,VBLENDPS
_mm256_blendv_pd,VBLENDVPD
_mm256_blendv_ps,VBLENDVPS
_mm256_div_pd,VDIVPD
_mm256_div_ps,VDIVPS
_mm256_dp_ps,VDPPS
_mm256_hadd_pd,VHADDPD
_mm256_hadd_ps,VHADDPS
_mm256_hsub_pd,VHSUBPD
_mm256_hsub_ps,VHSUBPS
_mm256_max_pd,VMAXPD
_mm256_max_ps,VMAXPS
_mm256_min_pd,VMINPD
_mm256_min_ps,VMINPS
_mm256_mul_pd,VMULPD
_mm256_mul_ps,VMULPS
_mm256_or_pd,VORPD
_mm256_or_ps,VORPS
_mm256_shuffle_pd,VSHUFPD
_mm256_shuffle_ps,VSHUFPS
_mm256_sub_pd,VSUBPD
_mm256_sub_ps,VSUBPS
_mm256_xor_pd,VXORPD
_mm256_xor_ps,VXORPS
_mm256_cvtepi32_pd,VCVTDQ2PD
_mm256_cvtepi32_ps,VCVTDQ2PS
_mm256_cvtpd_ps,VCVTPD2PS
_mm256_cvtps_epi32,VCVTPS2DQ
_mm256_cvtps_pd,VCVTPS2PD
_mm256_cvttpd_epi32,VCVTTPD2DQ
_mm256_cvtpd_epi32,VCVTPD2DQ
_mm256_cvttps_epi32,VCVTTPS2DQ
_mm256_extractf128_ps,VEXTRACTF128
_mm256_extractf128_pd,VEXTRACTF128
_mm256_extractf128_si256,VEXTRACTF128
_mm256_permutevar_ps,VPERMILPS
_mm_permutevar_ps,VPERMILPS
_mm256_permute_ps,VPERMILPS
_mm_permute_ps,VPERMILPS
_mm256_permutevar_pd,VPERMILPD
_mm_permutevar_pd,VPERMILPD
_mm256_permute_pd,VPERMILPD
_mm_permute_pd,VPERMILPD
_mm256_permute2f128_ps,VPERM2F128
_mm256_permute2f128_pd,VPERM2F128
_mm256_permute2f128_si256,VPERM2F128
_mm256_insertf128_ps,VINSERTF128
_mm256_insertf128_pd,VINSERTF128
_mm256_insertf128_si256,VINSERTF128
_mm256_movehdup_ps,VMOVSHDUP
_mm256_moveldup_ps,VMOVSLDUP
_mm256_movedup_pd,VMOVDDUP
_mm256_unpackhi_pd,VUNPCKHPD
_mm256_unpackhi_ps,VUNPCKHPS
_mm256_unpacklo_pd,VUNPCKLPD
_mm256_unpacklo_ps,VUNPCKLPS
_mm256_movemask_pd,VMOVMSKPD
_mm256_movemask_ps,VMOVMSKPS
_mm256_setzero_pd,VXORPD
_mm256_setzero_ps,VXORPS
